"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 13 09:17:27 GMT 2023","Fri Jan 13 09:18:42 GMT 2023","74812","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","editLead","Edit Lead",""
"passed","Fri Jan 13 09:20:25 GMT 2023","Fri Jan 13 09:20:53 GMT 2023","28298","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableValidation","Check that values of cells could be interacted",""
"passed","Fri Jan 13 09:16:34 GMT 2023","Fri Jan 13 09:17:21 GMT 2023","46255","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields","Create account with several fields specified",""
"passed","Fri Jan 13 09:15:35 GMT 2023","Fri Jan 13 09:16:56 GMT 2023","81270","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","createContact","Create Contact",""
"passed","Fri Jan 13 09:16:57 GMT 2023","Fri Jan 13 09:18:15 GMT 2023","78273","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact","Delete Contact",""
"passed","Fri Jan 13 09:16:35 GMT 2023","Fri Jan 13 09:17:26 GMT 2023","51046","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead","Delete Lead",""
"passed","Fri Jan 13 09:19:46 GMT 2023","Fri Jan 13 09:20:24 GMT 2023","38820","Build Verification Test","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage","Check Error Message",""
"passed","Fri Jan 13 09:18:17 GMT 2023","Fri Jan 13 09:20:12 GMT 2023","115075","Build Verification Test","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","io.github.dzmitryrak.tests.ContactCRUDTest","editContact","Edit Contact",""
"passed","Fri Jan 13 09:15:35 GMT 2023","Fri Jan 13 09:16:33 GMT 2023","58746","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount","Create Account",""
"passed","Fri Jan 13 09:15:35 GMT 2023","Fri Jan 13 09:16:34 GMT 2023","59792","Build Verification Test","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","io.github.dzmitryrak.tests.LeadCRUDTest","createLead","Create Lead",""
"passed","Fri Jan 13 09:17:22 GMT 2023","Fri Jan 13 09:18:18 GMT 2023","56414","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount","Delete Account",""
"passed","Fri Jan 13 09:19:12 GMT 2023","Fri Jan 13 09:19:43 GMT 2023","30793","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","sortingListView","Check that listview sorting exists and works",""
"passed","Fri Jan 13 09:18:19 GMT 2023","Fri Jan 13 09:19:45 GMT 2023","85779","Build Verification Test","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount","Edit Account",""
"passed","Fri Jan 13 09:18:43 GMT 2023","Fri Jan 13 09:19:12 GMT 2023","28458","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","panelValidation","Check that panel could be validated",""
"passed","Fri Jan 13 09:19:44 GMT 2023","Fri Jan 13 09:20:24 GMT 2023","39528","Build Verification Test","Cases","io.github.dzmitryrak.tests.CaseTest","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation","Check that correct case could be opened from table",""
