"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48381","Validate data from list view table by column name","Build Verification Test","Thu May 22 13:13:13 GMT 2025","passed","Thu May 22 13:14:02 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByColumnName"
"","30733","Create Lead","Build Verification Test","Thu May 22 13:11:06 GMT 2025","passed","Thu May 22 13:11:37 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","createLead"
"","14250","Check that we can click on any button on case detail page","Build Verification Test","Thu May 22 13:12:51 GMT 2025","passed","Thu May 22 13:13:05 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","clickButtonOnDetailPage"
"","14208","Check Error Message","Build Verification Test","Thu May 22 13:12:58 GMT 2025","passed","Thu May 22 13:13:12 GMT 2025","io.github.dzmitryrak.tests.ReadModalErrorTest","Others","io.github.dzmitryrak.tests.ReadModalErrorTest","testErrorMessage"
"","59635","Edit Contact","Build Verification Test","Thu May 22 13:12:23 GMT 2025","passed","Thu May 22 13:13:23 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","editContact"
"","31174","Create Account","Build Verification Test","Thu May 22 13:11:06 GMT 2025","passed","Thu May 22 13:11:38 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccount"
"","15253","Validate data from list view table by index","Build Verification Test","Thu May 22 13:14:02 GMT 2025","passed","Thu May 22 13:14:17 GMT 2025","io.github.dzmitryrak.tests.GetDataFromTableTest","Others","io.github.dzmitryrak.tests.GetDataFromTableTest","tableDataValidationByIndex"
"","40008","Create Contact","Build Verification Test","Thu May 22 13:11:06 GMT 2025","passed","Thu May 22 13:11:46 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","createContact"
"","35199","Delete Contact","Build Verification Test","Thu May 22 13:11:47 GMT 2025","passed","Thu May 22 13:12:23 GMT 2025","io.github.dzmitryrak.tests.ContactCRUDTest","CRUD for Contact","io.github.dzmitryrak.tests.ContactCRUDTest","deleteContact"
"","15541","Check that values of cells could be interacted","Build Verification Test","Thu May 22 13:13:48 GMT 2025","passed","Thu May 22 13:14:03 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableValidation"
"","10122","Check that listview sorting exists and works","Build Verification Test","Thu May 22 13:13:18 GMT 2025","passed","Thu May 22 13:13:28 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","sortingListView"
"","41976","Edit Lead","Build Verification Test","Thu May 22 13:12:08 GMT 2025","passed","Thu May 22 13:12:50 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","editLead"
"","37525","Account CRUD test in a different language (Spanish)","Build Verification Test","Thu May 22 13:13:23 GMT 2025","passed","Thu May 22 13:14:01 GMT 2025","io.github.dzmitryrak.tests.SpanishLanguageTest","CRUD for Contact","io.github.dzmitryrak.tests.SpanishLanguageTest","createAccountEditAndDeleteInSpanish"
"","28837","Delete Lead","Build Verification Test","Thu May 22 13:11:38 GMT 2025","passed","Thu May 22 13:12:07 GMT 2025","io.github.dzmitryrak.tests.LeadCRUDTest","CRUD for Lead","io.github.dzmitryrak.tests.LeadCRUDTest","deleteLead"
"","17959","Check that correct case could be opened from table","Build Verification Test","Thu May 22 13:13:29 GMT 2025","passed","Thu May 22 13:13:47 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","tableSortingValidation"
"","16433","Create account with several fields specified","Build Verification Test","Thu May 22 13:11:38 GMT 2025","passed","Thu May 22 13:11:55 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","createAccountSomeFields"
"","23121","Delete Account","Build Verification Test","Thu May 22 13:11:56 GMT 2025","passed","Thu May 22 13:12:19 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","deleteAccount"
"","11661","Check that panel could be validated","Build Verification Test","Thu May 22 13:13:06 GMT 2025","failed","Thu May 22 13:13:17 GMT 2025","io.github.dzmitryrak.tests.CaseTest","Cases","io.github.dzmitryrak.tests.CaseTest","panelValidation"
"","37478","Edit Account","Build Verification Test","Thu May 22 13:12:20 GMT 2025","passed","Thu May 22 13:12:57 GMT 2025","io.github.dzmitryrak.tests.AccountCRUDTest","CRUD for Account","io.github.dzmitryrak.tests.AccountCRUDTest","editAccount"
